venue_id,venue_full_name,venue_city,venue_state,league
2192,Provident Credit Union Event Center,San Jose,CA,ncaa_mbb
2083,Thomas & Mack Center,Las Vegas,NV,ncaa_mbb
406,Carver Arena,Peoria,IL,ncaa_mbb
1932,CEFCU Arena,Normal,IL,ncaa_mbb
2084,Memorial Gymnasium (TN),Nashville,TN,ncaa_mbb
488,University Credit Union Pavilion,Moraga,CA,ncaa_mbb
506,Gill Coliseum,Corvallis,OR,ncaa_mbb
2228,Spokane Arena,Spokane,WA,ncaa_mbb
2108,Marriott Center,Provo,UT,ncaa_mbb
2131,Bramlage Coliseum,Manhattan,KS,ncaa_mbb
782,Alaska Airlines Arena,Seattle,WA,ncaa_mbb
2047,United Supermarkets Arena,Lubbock,TX,ncaa_mbb
833,Desert Financial Arena,Tempe,AZ,ncaa_mbb
1938,The Super Pit,Denton,TX,ncaa_mbb
1902,Tudor Fieldhouse,Houston,TX,ncaa_mbb
789,The Sobrato Center,San Francisco,CA,ncaa_mbb
1927,John Paul Jones Arena,Charlottesville,VA,ncaa_mbb
501,Jenny Craig Pavilion,San Diego,CA,ncaa_mbb
2092,Simon Skjodt Assembly Hall,Bloomington,IN,ncaa_mbb
2142,Bud Walton Arena,Fayetteville,AR,ncaa_mbb
1953,Neville Arena,Auburn,AL,ncaa_mbb
557,Pete Maravich Assembly Center,Baton Rouge,LA,ncaa_mbb
2094,Williams Arena,Minneapolis,MN,ncaa_mbb
2008,Jersey Mike’s Arena,Piscataway,NJ,ncaa_mbb
353,CHI Health Center Omaha,Omaha,NE,ncaa_mbb
1823,Capital One Arena,Washington,DC,ncaa_mbb
1956,Gampel Pavilion,Storrs,CT,ncaa_mbb
2206,McCamish Pavilion,Atlanta,GA,ncaa_mbb
282,Purcell Pavilion,South Bend,IN,ncaa_mbb
1959,Reese Court,Cheney,WA,ncaa_mbb
7116,Qubein Center,High Point,NC,ncaa_mbb
7510,Ted Grant Court,Syracuse,NY,ncaa_mbb
2021,Hill Field House,Baltimore,MD,ncaa_mbb
2128,Dee Glen Smith Spectrum,Logan,UT,ncaa_mbb
2028,ExtraMile Arena,Boise,ID,ncaa_mbb
2111,Viejas Arena,San Diego,CA,ncaa_mbb
1055,Firestone Fieldhouse,Malibu,CA,ncaa_mbb
2123,UNF Arena,Jacksonville,FL,ncaa_mbb
2080,Insight Credit Union Arena at Edmunds Center,DeLand,FL,ncaa_mbb
360,Stephen C. O'Connell Center,Gainesville,FL,ncaa_mbb
5427,Wintrust Arena,Chicago,IL,ncaa_mbb
1948,McLeod Center,Cedar Falls,IA,ncaa_mbb
7264,ICCU Arena,Moscow,ID,ncaa_mbb
2087,McGuirk Arena,Mount Pleasant,MI,ncaa_mbb
1899,The Palestra,Philadelphia,PA,ncaa_mbb
5433,Scheels Center,Fargo,ND,ncaa_mbb
2176,Alumni Hall (Navy),Annapolis,MD,ncaa_mbb
2058,David S. Mack Sports and Exhibition Complex,Hempstead,NY,ncaa_mbb
10796,First Bank & Trust Arena,Brookings,SD,ncaa_mbb
7259,Lee's Family Forum,Henderson,NV,ncaa_mbb
4935,Freedom Hall (TN),Johnson City,TN,ncaa_mbb
2071,Mizzou Arena,Columbia,MO,ncaa_mbb
7317,Moody Center,Austin,TX,ncaa_mbb
2114,Reed Arena,College Station,TX,ncaa_mbb
2182,Chace Athletic Center,Smithfield,RI,ncaa_mbb
914,Save Mart Center,Fresno,CA,ncaa_mbb
2173,Gersten Pavilion,Los Angeles,CA,ncaa_mbb
2220,Stroh Center,Bowling Green,OH,ncaa_mbb
858,CURE Insurance Arena,Trenton,NJ,ncaa_mbb
1913,Newman Arena,Ithaca,NY,ncaa_mbb
1895,Credit Union 1 Arena,Chicago,IL,ncaa_mbb
4485,Kennedy Family Athletic Complex,Lowell,MA,ncaa_mbb
1955,TD Arena,Charleston,SC,ncaa_mbb
2048,Avron B. Fogelman Arena in the Devlin Fieldhouse,New Orleans,LA,ncaa_mbb
1901,The Dedmon Center,Radford,VA,ncaa_mbb
540,Stan Sheriff Center,Honolulu,HI,ncaa_mbb
2098,Curb Event Center Arena,Nashville,TN,ncaa_mbb
2157,Trask Coliseum,Wilmington,NC,ncaa_mbb
2067,David R. Stopher Gymnasium,Thibodaux,LA,ncaa_mbb
522,Resch Center,Ashwaubenon,WI,ncaa_mbb
2081,McDougald-McLendon Arena,Durham,NC,ncaa_mbb
2164,Physical Education Complex,Baltimore,MD,ncaa_mbb
2037,Koessler Athletic Center,Buffalo,NY,ncaa_mbb
1394,Toyota Center (Houston),Houston,TX,ncaa_mbb
2038,Allen Arena,Nashville,TN,ncaa_mbb
2039,UD Arena,Dayton,OH,ncaa_mbb
64,PeoplesBank Arena,Hartford,CT,ncaa_mbb
2115,UTSA Convocation Center,San Antonio,TX,ncaa_mbb
4486,Robins Center,Richmond,VA,ncaa_mbb
1965,Redhawk Center,Seattle,WA,ncaa_mbb
2135,Convocation Center (OH),Athens,OH,ncaa_mbb
1922,Winthrop Coliseum,Rock Hill,SC,ncaa_mbb
7511,Joan Perry Brock Center,Farmville,VA,ncaa_mbb
1926,Lakefront Arena,New Orleans,LA,ncaa_mbb
